GCF_000327385	GCF_000327385.1
GCF_002022765	GCF_002022765.2
GCF_002113885	GCF_002113885.1
GCF_020536995	GCF_020536995.1
GCF_021730395	GCF_021730395.1
GCF_021869535	GCF_021869535.1
GCF_025612915	GCF_025612915.1
GCF_026571515	GCF_026571515.1
GCF_026914265	GCF_026914265.1
GCF_031769215	GCF_031769215.1
GCF_032062105	GCF_032062105.1
GCF_033153115	GCF_033153115.1
GCF_036588685	GCF_036588685.1
GCF_041381155	GCF_041381155.1
GCF_902652985	GCF_902652985.1
GCF_947568905	GCF_947568905.1
GCF_963676685	GCF_963676685.1
GCF_963853765	GCF_963853765.1
